	label	predict
0	hafez	hafez
1	saadi	saadi
2	hafez	hafez
3	hafez	hafez
4	saadi	saadi
5	saadi	hafez
6	saadi	saadi
7	hafez	hafez
8	saadi	saadi
9	saadi	saadi
10	hafez	hafez
11	saadi	saadi
13	saadi	saadi
14	saadi	saadi
16	hafez	hafez
17	hafez	hafez
18	saadi	hafez
19	saadi	saadi
20	hafez	hafez
21	saadi	saadi
22	hafez	hafez
25	saadi	saadi
26	hafez	hafez
28	hafez	hafez
29	hafez	hafez
31	hafez	hafez
32	saadi	saadi
33	saadi	saadi
35	saadi	saadi
36	saadi	saadi
37	saadi	saadi
38	saadi	saadi
39	saadi	saadi
40	saadi	saadi
41	saadi	saadi
42	saadi	saadi
44	saadi	saadi
45	hafez	hafez
46	saadi	saadi
47	hafez	hafez
48	saadi	saadi
49	saadi	saadi
50	saadi	saadi
51	saadi	saadi
52	hafez	hafez
54	hafez	hafez
55	saadi	saadi
56	saadi	saadi
57	saadi	saadi
58	hafez	saadi
59	saadi	saadi
61	hafez	saadi
63	saadi	saadi
65	saadi	saadi
66	saadi	saadi
67	saadi	saadi
68	hafez	hafez
69	hafez	hafez
70	saadi	saadi
71	saadi	saadi
72	saadi	saadi
74	hafez	saadi
75	saadi	saadi
76	hafez	hafez
77	saadi	saadi
79	saadi	saadi
80	hafez	hafez
82	hafez	hafez
83	saadi	saadi
84	hafez	hafez
86	hafez	hafez
88	hafez	saadi
89	saadi	saadi
90	saadi	saadi
92	hafez	hafez
93	saadi	saadi
94	hafez	hafez
95	hafez	saadi
96	saadi	saadi
97	saadi	saadi
98	saadi	saadi
99	hafez	hafez
100	hafez	hafez
101	hafez	saadi
103	hafez	hafez
104	hafez	hafez
105	saadi	saadi
107	saadi	saadi
109	saadi	saadi
110	saadi	saadi
111	hafez	hafez
113	saadi	saadi
114	saadi	saadi
115	hafez	hafez
116	saadi	saadi
119	hafez	hafez
120	hafez	hafez
122	hafez	hafez
123	hafez	hafez
124	saadi	saadi
125	saadi	saadi
126	saadi	saadi
127	saadi	saadi
128	hafez	hafez
131	hafez	hafez
132	hafez	hafez
133	saadi	saadi
135	saadi	saadi
136	hafez	hafez
137	saadi	saadi
138	hafez	hafez
139	hafez	hafez
140	saadi	saadi
141	hafez	hafez
142	hafez	hafez
143	saadi	saadi
144	hafez	hafez
145	saadi	saadi
146	hafez	hafez
147	hafez	hafez
148	hafez	hafez
150	saadi	saadi
151	hafez	saadi
152	saadi	saadi
153	hafez	hafez
154	hafez	hafez
155	hafez	hafez
156	saadi	saadi
157	hafez	hafez
158	hafez	hafez
159	saadi	saadi
160	saadi	saadi
161	hafez	hafez
162	saadi	saadi
163	saadi	saadi
166	hafez	hafez
167	hafez	hafez
168	hafez	hafez
169	saadi	saadi
170	hafez	hafez
173	hafez	hafez
174	saadi	saadi
175	hafez	hafez
176	hafez	hafez
177	saadi	saadi
179	saadi	saadi
181	hafez	saadi
182	saadi	saadi
183	hafez	hafez
184	hafez	hafez
185	saadi	saadi
187	saadi	saadi
189	saadi	saadi
190	saadi	saadi
191	saadi	saadi
192	saadi	saadi
194	saadi	saadi
195	hafez	hafez
196	hafez	hafez
197	saadi	saadi
198	hafez	hafez
199	saadi	saadi
200	saadi	saadi
201	hafez	hafez
202	saadi	saadi
204	hafez	hafez
205	hafez	hafez
206	saadi	hafez
207	hafez	hafez
208	saadi	saadi
210	saadi	saadi
211	saadi	saadi
212	saadi	saadi
213	saadi	hafez
214	hafez	hafez
215	saadi	saadi
216	saadi	saadi
217	saadi	saadi
218	saadi	saadi
219	saadi	saadi
220	hafez	saadi
221	hafez	hafez
223	saadi	saadi
224	hafez	hafez
225	hafez	saadi
227	saadi	saadi
228	saadi	saadi
230	saadi	saadi
231	saadi	saadi
232	saadi	saadi
233	saadi	saadi
234	saadi	saadi
235	saadi	saadi
236	saadi	saadi
238	saadi	saadi
239	saadi	saadi
241	saadi	saadi
242	hafez	hafez
244	saadi	saadi
245	saadi	saadi
246	hafez	hafez
247	saadi	saadi
248	hafez	hafez
249	hafez	hafez
250	saadi	saadi
251	saadi	saadi
252	saadi	saadi
253	saadi	saadi
254	saadi	saadi
256	hafez	hafez
257	hafez	hafez
258	saadi	saadi
260	saadi	saadi
261	saadi	saadi
262	hafez	saadi
263	hafez	hafez
264	saadi	saadi
265	saadi	saadi
266	hafez	hafez
267	saadi	saadi
268	saadi	saadi
270	hafez	hafez
272	saadi	saadi
274	saadi	saadi
275	saadi	saadi
276	saadi	saadi
277	hafez	hafez
278	saadi	saadi
279	saadi	saadi
280	saadi	saadi
281	saadi	saadi
282	hafez	hafez
283	hafez	saadi
284	hafez	hafez
285	hafez	saadi
289	hafez	saadi
290	saadi	saadi
291	hafez	hafez
292	hafez	hafez
293	hafez	hafez
295	saadi	saadi
296	saadi	hafez
297	saadi	saadi
298	hafez	hafez
299	saadi	saadi
300	saadi	saadi
301	saadi	saadi
302	saadi	saadi
303	saadi	saadi
304	saadi	saadi
306	saadi	saadi
307	saadi	saadi
308	saadi	saadi
309	saadi	saadi
311	hafez	hafez
312	hafez	saadi
313	hafez	hafez
314	saadi	saadi
315	saadi	saadi
316	hafez	hafez
317	saadi	saadi
318	hafez	hafez
320	hafez	saadi
321	saadi	saadi
322	saadi	saadi
324	hafez	hafez
325	saadi	saadi
326	saadi	saadi
327	saadi	saadi
328	saadi	saadi
329	saadi	saadi
330	saadi	saadi
331	hafez	hafez
332	hafez	saadi
333	hafez	hafez
334	hafez	hafez
335	saadi	saadi
336	saadi	saadi
337	saadi	saadi
338	saadi	saadi
339	saadi	saadi
341	saadi	saadi
342	hafez	hafez
343	saadi	saadi
344	saadi	saadi
345	saadi	saadi
347	hafez	hafez
348	saadi	saadi
350	saadi	saadi
353	hafez	hafez
354	hafez	hafez
355	hafez	hafez
356	saadi	saadi
357	saadi	saadi
358	hafez	hafez
359	hafez	saadi
362	saadi	saadi
364	hafez	hafez
366	saadi	saadi
367	saadi	hafez
368	saadi	saadi
369	saadi	saadi
370	saadi	saadi
372	hafez	hafez
374	hafez	hafez
375	saadi	saadi
376	saadi	saadi
377	hafez	hafez
378	saadi	saadi
379	hafez	hafez
380	saadi	saadi
381	saadi	saadi
382	hafez	hafez
383	saadi	saadi
384	hafez	hafez
385	hafez	hafez
386	saadi	saadi
388	hafez	hafez
389	hafez	hafez
390	saadi	saadi
391	hafez	hafez
394	saadi	saadi
395	hafez	hafez
396	saadi	saadi
397	hafez	hafez
399	saadi	saadi
400	hafez	hafez
401	hafez	saadi
402	hafez	hafez
403	saadi	saadi
404	saadi	saadi
405	hafez	hafez
406	hafez	saadi
408	hafez	hafez
409	hafez	hafez
410	saadi	saadi
411	saadi	saadi
413	saadi	saadi
414	saadi	saadi
415	saadi	saadi
416	hafez	saadi
417	saadi	saadi
420	hafez	hafez
422	hafez	hafez
423	saadi	hafez
424	saadi	saadi
425	saadi	saadi
426	hafez	hafez
428	hafez	hafez
429	saadi	saadi
431	saadi	saadi
432	saadi	saadi
433	saadi	saadi
434	saadi	saadi
436	saadi	saadi
438	saadi	saadi
440	hafez	hafez
442	hafez	hafez
443	saadi	saadi
444	hafez	hafez
445	saadi	saadi
447	saadi	saadi
448	saadi	saadi
449	saadi	saadi
450	saadi	saadi
451	hafez	hafez
453	hafez	saadi
454	saadi	saadi
455	saadi	saadi
456	saadi	saadi
458	hafez	hafez
459	saadi	saadi
460	hafez	hafez
462	hafez	hafez
463	saadi	saadi
464	saadi	saadi
465	saadi	saadi
466	hafez	hafez
467	hafez	hafez
469	saadi	saadi
470	saadi	saadi
472	hafez	hafez
475	hafez	hafez
476	saadi	saadi
477	saadi	saadi
478	hafez	hafez
479	hafez	hafez
480	saadi	saadi
481	hafez	hafez
482	saadi	saadi
483	saadi	saadi
484	saadi	saadi
485	saadi	saadi
486	saadi	saadi
487	hafez	hafez
488	hafez	hafez
489	hafez	hafez
491	hafez	hafez
492	saadi	saadi
493	saadi	saadi
494	hafez	hafez
495	hafez	hafez
496	saadi	saadi
497	hafez	hafez
498	saadi	saadi
501	saadi	saadi
502	saadi	saadi
503	saadi	saadi
504	saadi	saadi
505	saadi	saadi
507	saadi	saadi
509	saadi	saadi
510	saadi	hafez
513	hafez	hafez
514	saadi	saadi
515	saadi	saadi
516	saadi	saadi
518	saadi	saadi
520	saadi	saadi
521	hafez	hafez
522	hafez	hafez
524	saadi	saadi
525	hafez	hafez
526	saadi	saadi
527	saadi	saadi
528	hafez	hafez
529	hafez	hafez
530	hafez	saadi
531	saadi	saadi
532	saadi	saadi
534	hafez	hafez
535	saadi	hafez
536	saadi	saadi
537	saadi	saadi
538	saadi	saadi
539	saadi	saadi
540	saadi	saadi
541	saadi	saadi
542	hafez	hafez
543	hafez	hafez
544	saadi	saadi
545	saadi	saadi
547	hafez	hafez
550	saadi	saadi
551	saadi	saadi
553	saadi	saadi
554	saadi	saadi
556	hafez	hafez
557	hafez	hafez
558	hafez	hafez
559	hafez	hafez
